source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
oocytes-IVF-GV-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	pooled	NT=bulk control;AC=PRIDE:0000907	pooled	not applicable	not applicable	100	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	130403SL_Klun_sample1_longer_immature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
oocytes-IVF-MII-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	pooled	NT=bulk control;AC=PRIDE:0000907	pooled	not applicable	not applicable	100	1	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	130403SL_Klun_sample2_longer_mature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
oocytes-HD-MII-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	pooled	NT=bulk control;AC=PRIDE:0000907	pooled	not applicable	not applicable	100	1	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	130724SL_Klun_1_oocytes-mature1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
oocytes-HD-MII-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	pooled	NT=bulk control;AC=PRIDE:0000907	pooled	not applicable	not applicable	100	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	2	130724SL_Klun_1_oocytes-mature2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
oocytes-HD-GV-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	pooled	NT=bulk control;AC=PRIDE:0000907	pooled	not applicable	not applicable	100	1	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	130724SL_Klun_3_oocytes-immature1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
oocytes-HD-GV-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	pooled	NT=bulk control;AC=PRIDE:0000907	pooled	not applicable	not applicable	100	1	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	2	130724SL_Klun_3_oocytes-immature2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
secretome-HD-MII-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	pooled	not applicable	pooled	not applicable	not applicable	not applicable	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	130724SL_Klun_2_secretome-mature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
secretome-HD-GV-100	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	pooled	not applicable	pooled	not applicable	not applicable	not applicable	1	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	130724SL_Klun_4_secretome-immature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
control-medium	not applicable	not applicable	not applicable	not applicable	not available	not applicable	not applicable	not applicable	NT=negative control;AC=PRIDE:0000905	not applicable	not applicable	not applicable	not applicable	1	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	130724SL_Klun_5_control-medium.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
oocyte-GV3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	NT=single cell;AC=PRIDE:0000897	not pooled	manual picking	GV3	1	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	1	1	140818SL_GV3_singleoocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
