source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[lcm microscope model]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
Single_HeLa_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=African American;AC=HANCESTRO:0568	30Y6M	female	HeLa_donor	NT=single cell;AC=PRIDE:0000897	nanoPOTS	HeLa_1	1	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	not applicable	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa cell;AC=CLO:0003684
Single_HeLa_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=African American;AC=HANCESTRO:0568	30Y6M	female	HeLa_donor	NT=single cell;AC=PRIDE:0000897	nanoPOTS	HeLa_2	1	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	not applicable	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa cell;AC=CLO:0003684
Single_HeLa_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=African American;AC=HANCESTRO:0568	30Y6M	female	HeLa_donor	NT=single cell;AC=PRIDE:0000897	nanoPOTS	HeLa_3	1	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	not applicable	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa cell;AC=CLO:0003684
SingleMotorNeuron_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=spinal cord;AC=UBERON:0002240	NT=spinal cord motor neuron;AC=CL:0011001	not available	cell	not available	not available	not available	spinal_donor_1	NT=single cell;AC=PRIDE:0000897	laser capture microdissection	MN_1	1	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	Zeiss PALM MicroBeam	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=spinal cord motor neuron;AC=CL:0011001
SingleMotorNeuron_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=spinal cord;AC=UBERON:0002240	NT=spinal cord motor neuron;AC=CL:0011001	not available	cell	not available	not available	not available	spinal_donor_1	NT=single cell;AC=PRIDE:0000897	laser capture microdissection	MN_2	1	2	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	Zeiss PALM MicroBeam	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=spinal cord motor neuron;AC=CL:0011001
SingleMotorNeuron_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=spinal cord;AC=UBERON:0002240	NT=spinal cord motor neuron;AC=CL:0011001	not available	cell	not available	not available	not available	spinal_donor_1	NT=single cell;AC=PRIDE:0000897	laser capture microdissection	MN_3	1	3	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	Zeiss PALM MicroBeam	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=spinal cord motor neuron;AC=CL:0011001
SingleInterNeuron_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=spinal cord;AC=UBERON:0002240	NT=spinal cord interneuron;AC=CL:0005000	not available	cell	not available	not available	not available	spinal_donor_1	NT=single cell;AC=PRIDE:0000897	laser capture microdissection	IN_1	1	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	Zeiss PALM MicroBeam	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=spinal cord interneuron;AC=CL:0005000
SingleInterNeuron_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=spinal cord;AC=UBERON:0002240	NT=spinal cord interneuron;AC=CL:0005000	not available	cell	not available	not available	not available	spinal_donor_1	NT=single cell;AC=PRIDE:0000897	laser capture microdissection	IN_2	1	2	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	Zeiss PALM MicroBeam	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=spinal cord interneuron;AC=CL:0005000
SingleInterNeuron_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=spinal cord;AC=UBERON:0002240	NT=spinal cord interneuron;AC=CL:0005000	not available	cell	not available	not available	not available	spinal_donor_1	NT=single cell;AC=PRIDE:0000897	laser capture microdissection	IN_3	1	3	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	Zeiss PALM MicroBeam	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=spinal cord interneuron;AC=CL:0005000
Blank_1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	not applicable	NT=negative control;AC=PRIDE:0000905	not applicable	not applicable	0	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=radial ejection linear ion trap;AC=MS:1000083	5 ppm	20 ppm	not applicable	not applicable	not applicable	1	1	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
