source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biorepository]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[passage number]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms min charge]	comment[ms max charge]	comment[sample preparation batch]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
200nL_CH1_C4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_C4	1	1	200nL_CH1_C4	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-05	1	1	200nL_CH1_C4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_C6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_C6	1	2	200nL_CH1_C6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-06	1	1	200nL_CH1_C6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_D3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_D3	1	3	200nL_CH1_D3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-06	1	1	200nL_CH1_D3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_E6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_E6	1	4	200nL_CH1_E6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-04	1	1	200nL_CH1_E6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_F6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_F6	1	5	200nL_CH1_F6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-04	1	1	200nL_CH1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_H6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_H6	1	6	200nL_CH1_H6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-05	1	1	200nL_CH1_H6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_H8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_H8	1	7	200nL_CH1_H8	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-06	1	1	200nL_CH1_H8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_J7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_J7	1	8	200nL_CH1_J7	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-05	1	1	200nL_CH1_J7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH1_K2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH1_K2	1	9	200nL_CH1_K2	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-04	1	1	200nL_CH1_K2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
200nL_CH2_B5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	ATCC	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	-20 °C	not available	microfluidics	200nL_CH2_B5	1	10	200nL_CH2_B5	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-dependent acquisition	not available	not available	20 ppm	375m/z-1575m/z	2	4	VolCon_200nL_1ng_protease	2023-06-04	1	1	200nL_CH2_B5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=HeLa;AC=EFO:0001185
